"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Login","Error message","User enters the wrong Username","0","0","1","0","0"
"","login","login with invalid length value scenario","0","0","7","0","0"
"","login","login with wrong value scenario","0","0","2","0","0"
"Logout","","User is successfully logged out","0","0","1","0","0"
"parametrized-login","","User logs in with valid and invalid data","0","0","9","0","0"
"Login","Error message","User enters the wrong Password","0","0","1","0","0"
"","","","0","0","15","0","0"
"Login","Login button status","User doesn't fill the Username field","0","0","1","0","0"
"Login","Login button status","User doesn't fill the Username Description field","0","0","1","0","0"
"Login","Error message","User filled the Username Description field with too short a value","0","0","1","0","0"
"","logout","logout scenario","0","0","1","0","0"
"Login","Login button status","User doesn't fill the Password field","0","0","1","0","0"
"Login","Field tip","User hasn't yet entered a value in the User Description field","0","0","1","0","0"
"DragDrop","","User drags and drops the item in the block","0","0","1","0","0"
"Login","Overflow field","User overflows the Password field","0","0","1","0","0"
"","login","login with valid value scenario","0","0","1","0","0"
"Login","Overflow field","User overflows the Username field","0","0","1","0","0"
"Login","Error message","User filled the Username field with too short a value","0","0","1","0","0"
"Login","Field tip","User hasn't yet entered a value in the Username field","0","0","1","0","0"
"Tabs","","User opens tabs in new windows","0","0","1","0","0"
"","","User enters his name into alert and receives a text with his name","0","0","1","0","0"
"Login","","User is successfully logged in","0","0","1","0","0"
